Pokemon_1 ,Type_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2 ,Type_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner
Raticate,Normal,55,81,60,97,246,Joltik,Bug,50,47,50,65,131,1
Alolan Raticate,Dark,75,71,70,77,243,Kakuna,Bug,45,25,50,35,84,1
Spearow,Normal,40,60,30,70,162.5,Karrablast,Bug,50,75,45,60,170,2
Fearow,Normal,65,90,65,100,307.5,Kricketot,Bug,37,25,41,25,38,1
Ekans,Poison,35,60,44,55,151.5,Kricketune,Bug,77,85,51,65,218,2
Arbok,Poison,60,95,69,80,261.5,Larvesta,Bug,55,85,55,60,160,1
Pikachu,Electric,35,55,40,90,117,Leavanny,Bug,75,103,80,92,322.5,2
Partner Pikachu,Electric,45,80,50,120,260,Ledian,Bug,55,35,50,85,65,1
Raichu,Electric,60,90,55,110,295,Ledyba,Bug,40,20,30,55,-35,1
Alolan Raichu,Electric,60,85,50,110,245,Masquerain,Bug,70,60,62,80,102,1
Sandshrew,Ground,50,75,85,40,100,Mega Beedrill,Bug,65,150,40,145,325,2
Alolan Sandshrew,Ice,50,75,90,40,162.5,Mega Heracross,Bug,80,185,115,75,380,2
Sandslash,Ground,75,100,110,65,195,Mega Pinsir,Bug,65,155,120,105,445,2
Alolan Sandslash,Ice,75,100,120,65,285,Mega Scizor,Bug,70,150,140,75,385,2
Nidoranâ™€,Poison,55,47,52,41,185,Metapod,Bug,50,20,55,30,108,1
Nidorina,Poison,70,62,67,56,208,Mothim,Bug,70,94,50,66,218,2
Nidoqueen,Poison,90,92,87,76,322.5,Nincada,Bug,31,45,90,40,160,1
Nidoranâ™‚,Poison,46,57,40,50,148,Ninjask,Bug,61,90,45,160,299,2
Nidorino,Poison,61,72,57,65,232.5,Orbeetle,Bug,60,45,110,90,233,2
Nidoking,Poison,81,102,77,85,310,Paras,Bug,35,70,55,25,-19,1
Clefairy,Fairy,70,45,48,35,150.5,Parasect,Bug,60,95,80,30,220,2
Clefable,Fairy,95,70,73,60,229.5,Pheromosa,Bug,71,137,37,151,256,2
Vulpix,Fire,38,41,40,65,151.5,Pineco,Bug,50,65,90,15,138,1
Alolan Vulpix,Ice,38,41,40,65,121.5,Pinsir,Bug,65,125,100,85,334,2
Ninetales,Fire,73,76,75,100,296.5,Ribombee,Bug,60,55,60,124,147,1
Alolan Ninetales,Ice,73,67,75,109,306.5,Scatterbug,Bug,38,35,40,35,81,1
Jigglypuff,Normal,115,45,20,20,135,Scizor,Bug,70,130,100,65,342.5,2
Wigglytuff,Normal,140,70,45,45,250,Scolipede,Bug,60,100,89,112,291,2
Zubat,Poison,40,45,35,55,147.5,Scyther,Bug,70,110,80,105,320,2
Golbat,Poison,75,80,70,90,301.75,Sewaddle,Bug,45,53,70,42,50,1
Oddish,Grass,45,50,55,30,90,Shedinja,Bug,1,90,45,40,176,2
Gloom,Grass,60,65,70,40,195,Shelmet,Bug,50,40,85,25,167.5,1
Vileplume,Grass,75,80,85,50,280,Shuckle,Bug,20,10,230,5,185,1
Paras,Bug,35,70,55,25,115,Silcoon,Bug,50,35,55,15,85,1
Parasect,Bug,60,95,80,30,221,Spewpa,Bug,45,22,60,29,61,1
Venonat,Bug,60,55,50,45,180,Spinarak,Bug,40,60,40,30,142.5,1
Venomoth,Bug,70,65,60,90,270,Surskit,Bug,40,30,32,65,102,1
Diglett,Ground,10,55,25,95,122,Swadloon,Bug,55,63,90,42,236.25,2
Alolan Diglett,Ground,10,55,30,90,162.5,Venipede,Bug,30,45,59,57,136,1
Dugtrio,Ground,35,100,50,120,240,Venomoth,Bug,70,65,60,90,185,1
Alolan Dugtrio,Ground,35,100,60,110,277.5,Venonat,Bug,60,55,50,45,110,1
Meowth,Normal,40,45,35,90,130,Vespiquen,Bug,70,80,102,40,247,2
Alolan Meowth,Dark,40,35,35,90,60,Vikavolt,Bug,77,70,90,43,245,2
Galarian Meowth,Steel,50,65,55,40,184,Vivillon,Bug,80,52,50,89,206,2
Persian,Normal,65,70,60,115,237,Volbeat,Bug,65,73,75,85,228,1
Alolan Persian,Dark,65,60,60,115,180,Volcarona,Bug,85,60,65,100,250,2
Psyduck,Water,50,52,48,55,170,Weedle,Bug,40,35,30,50,103,1
Golduck,Water,80,82,78,85,270,Whirlipede,Bug,40,55,99,47,159,1
Mankey,Fighting,40,80,35,70,207.5,Wimpod,Bug,25,35,40,80,100,1
Primeape,Fighting,65,105,60,95,295.5,Wormadam Plant Cloak,Bug,60,59,85,36,135,1
Growlithe,Fire,55,70,45,60,190.5,Wormadam Sandy Cloak,Bug,60,79,105,36,140,1
Arcanine,Fire,90,110,80,95,340.5,Wormadam Trash Cloak,Bug,60,69,95,36,-180,1
Poliwag,Water,40,50,40,90,175,Wurmple,Bug,45,45,35,20,95,1
Poliwhirl,Water,65,65,65,90,220,Yanma,Bug,65,65,45,95,205,1
Poliwrath,Water,90,95,95,70,312,Yanmega,Bug,86,76,86,95,248,1
Abra,Psychic,25,20,15,90,10,Accelgor,Bug,80,70,40,145,315,2
Kadabra,Psychic,40,35,30,105,30,Ariados,Bug,70,90,70,40,200,2
Alakazam,Psychic,55,50,45,120,130,Beautifly,Bug,60,70,50,65,195,2
Mega Alakazam,Psychic,55,50,65,150,140,Beedrill,Bug,65,90,40,75,170,2
Machop,Fighting,70,80,50,35,225,Blipbug,Bug,25,20,20,45,30,1
Machoke,Fighting,80,100,70,45,280.5,Burmy,Bug,40,29,45,36,50,1
Machamp,Fighting,90,130,80,55,332.5,Butterfree,Bug,60,45,50,70,95,1
Bellsprout,Grass,50,75,35,40,61,Buzzwole,Bug,107,139,139,79,426.5,2
Weepinbell,Grass,65,90,50,55,225,Cascoon,Bug,50,35,55,15,110,1
Victreebel,Grass,80,105,65,70,290,Caterpie,Bug,45,30,35,45,102.5,1
Tentacool,Water,40,40,35,70,144,Charjabug,Bug,57,82,95,36,230,2
Tentacruel,Water,80,70,65,100,300,Combee,Bug,30,30,42,70,102,1
Geodude,Rock,40,80,100,20,135,Crustle,Bug,70,105,125,45,185,2
Alolan Geodude,Rock,40,80,100,20,195,Cutiefly,Bug,40,45,40,84,49,1
Graveler,Rock,55,95,115,35,265,Dottler,Bug,50,35,80,30,5,1
Alolan Graveler,Rock,55,95,115,35,191,Durant,Bug,58,109,112,109,293,2
Golem,Rock,80,120,130,45,325,Dustox,Bug,60,50,70,65,5,1
Alolan Golem,Rock,80,120,130,45,310,Dwebble,Bug,50,65,85,55,15,1
Ponyta,Fire,50,85,55,90,212.5,Escavalier,Bug,70,135,105,20,-10,1
Galarian Ponyta,Psychic,50,85,55,90,235,Forretress,Bug,75,90,140,40,302.5,2
Rapidash,Fire,65,100,70,105,301.5,Galvantula,Bug,70,77,60,108,115,1
Galarian Rapidash,Psychic,65,100,70,105,280,Genesect,Bug,71,120,95,99,335,2
Slowpoke,Water,90,65,65,15,-15,Golisopod,Bug,75,125,140,40,347.5,2
Slowbro,Water,95,75,110,30,186,Grubbin,Bug,47,62,45,46,125,1
Mega Slowbro,Water,95,75,180,30,130,Heracross,Bug,80,125,75,85,290,2
Magnemite,Electric,25,35,70,45,151.5,Illumise,Bug,65,47,75,85,237,2
Magneton,Electric,50,60,95,70,251.5,Joltik,Bug,50,47,50,65,182,1
Farfetch'd,Normal,52,90,55,60,244.5,Kakuna,Bug,45,25,50,35,65,1
Galarian Farfetch'd,Fighting,52,95,55,55,219.5,Karrablast,Bug,50,75,45,60,135,1
Doduo,Normal,35,85,45,75,227.5,Kricketot,Bug,37,25,41,25,43,1
Dodrio,Normal,60,110,70,110,307.5,Kricketune,Bug,77,85,51,65,168,1
Seel,Water,65,45,55,45,125,Larvesta,Bug,55,85,55,60,165,2
Dewgong,Water,90,70,80,70,207,Leavanny,Bug,75,103,80,92,315,2
Grimer,Poison,80,80,50,25,217.5,Ledian,Bug,55,35,50,85,145,1
Alolan Grimer,Poison,80,80,50,25,215,Ledyba,Bug,40,20,30,55,65,1
Muk,Poison,105,105,75,50,305,Masquerain,Bug,70,60,62,80,167,1
Alolan Muk,Poison,105,105,75,50,185,Mega Beedrill,Bug,65,150,40,145,347.5,2
Shellder,Water,30,65,100,40,50,Mega Heracross,Bug,80,185,115,75,390,2
Cloyster,Water,50,95,180,70,240,Mega Pinsir,Bug,65,155,120,105,350,2
Gastly,Ghost,30,35,30,80,137.5,Mega Scizor,Bug,70,150,140,75,400,2
Haunter,Ghost,45,50,45,95,230,Metapod,Bug,50,20,55,30,105,1
Gengar,Ghost,60,65,60,110,271.5,Mothim,Bug,70,94,50,66,215,1
Mega Gengar,Ghost,60,65,80,130,323.75,Nincada,Bug,31,45,90,40,141,1
Onix,Rock,35,45,160,70,220,Ninjask,Bug,61,90,45,160,176,1
Drowzee,Psychic,60,48,45,42,105,Orbeetle,Bug,60,45,110,90,281,2
Hypno,Psychic,85,73,70,67,155,Paras,Bug,35,70,55,25,112,1
Krabby,Water,30,105,90,50,180,Parasect,Bug,60,95,80,30,212.5,2
Kingler,Water,55,130,115,75,238,Pheromosa,Bug,71,137,37,151,266,2
Voltorb,Electric,40,30,50,100,155,Pineco,Bug,50,65,90,15,190,2
Electrode,Electric,60,50,70,150,205,Pinsir,Bug,65,125,100,85,325,2
Exeggcute,Grass,60,40,80,40,0,Ribombee,Bug,60,55,60,124,279,2
Exeggutor,Grass,95,95,85,55,190,Scatterbug,Bug,38,35,40,35,100.5,1
Alolan Exeggutor,Grass,95,105,85,45,70,Scizor,Bug,70,130,100,65,338.75,2
Cubone,Ground,50,50,95,35,130,Scolipede,Bug,60,100,89,112,311,2
Marowak,Ground,60,80,110,45,185,Scyther,Bug,70,110,80,105,365,2
Alolan Marowak,Fire,60,80,110,45,281.75,Sewaddle,Bug,45,53,70,42,-110,1
Hitmonlee,Fighting,50,120,53,87,265,Shedinja,Bug,1,90,45,40,176,1
Hitmonchan,Fighting,50,105,79,76,290,Shelmet,Bug,50,40,85,25,95,1
Lickitung,Normal,90,55,75,30,240,Shuckle,Bug,20,10,230,5,237.5,1
Koffing,Poison,40,65,95,35,217.5,Silcoon,Bug,50,35,55,15,90,1
Weezing,Poison,65,90,120,60,324,Spewpa,Bug,45,22,60,29,66,1
Galarian Weezing,Poison,65,90,120,60,305,Spinarak,Bug,40,60,40,30,125,1
Rhyhorn,Ground,80,85,95,25,255,Surskit,Bug,40,30,32,65,124.5,1
Rhydon,Ground,105,130,120,40,332,Swadloon,Bug,55,63,90,42,217.5,1
Chansey,Normal,250,5,5,50,265,Venipede,Bug,30,45,59,57,186,1
Tangela,Grass,65,55,115,60,165,Venomoth,Bug,70,65,60,90,271.25,2
Kangaskhan,Normal,105,95,80,90,315,Venonat,Bug,60,55,50,45,115,1
Mega Kangaskhan,Normal,105,125,100,100,350,Vespiquen,Bug,70,80,102,40,167,1
Horsea,Water,30,40,70,60,130,Vikavolt,Bug,77,70,90,43,240,2
Seadra,Water,55,65,95,85,248,Vivillon,Bug,80,52,50,89,206,1
Goldeen,Water,45,67,60,63,162,Volbeat,Bug,65,73,75,85,231,2
Seaking,Water,80,92,65,68,245,Volcarona,Bug,85,60,65,100,126,1
Staryu,Water,30,45,55,85,180,Weedle,Bug,40,35,30,50,110,1
Starmie,Water,60,75,85,115,225,Whirlipede,Bug,40,55,99,47,166,1
Mr. Mime,Psychic,40,45,65,90,205,Wimpod,Bug,25,35,40,80,135,1
Galarian Mr. Mime,Psychic,50,65,65,100,221,Wormadam Plant Cloak,Bug,60,59,85,36,175,1
Scyther,Bug,70,110,80,105,325.5,Wormadam Sandy Cloak,Bug,60,79,105,36,170,1
Jynx,Ice,65,50,35,95,107,Wormadam Trash Cloak,Bug,60,69,95,36,235,2
Electabuzz,Electric,65,83,57,105,265,Wurmple,Bug,45,45,35,20,62,1
Magmar,Fire,65,95,57,93,277.5,Yanma,Bug,65,65,45,95,80,1
Pinsir,Bug,65,125,100,85,299,Yanmega,Bug,86,76,86,95,280.5,1
Mega Pinsir,Bug,65,155,120,105,410,Accelgor,Bug,80,70,40,145,180,1
Tauros,Normal,75,100,95,110,290,Ariados,Bug,70,90,70,40,170,1
Magikarp,Water,20,10,55,80,95,Beautifly,Bug,60,70,50,65,235,2
Gyarados,Water,95,125,79,81,335,Beedrill,Bug,65,90,40,75,145,1
Mega Gyarados,Water,95,155,109,81,400,Blipbug,Bug,25,20,20,45,-45,1
Lapras,Water,130,85,80,60,326,Burmy,Bug,40,29,45,36,65,1
Ditto,Normal,48,48,48,48,147,Butterfree,Bug,60,45,50,70,177,2
Eevee,Normal,55,55,50,55,76,Buzzwole,Bug,107,139,139,79,409,2
Partner Eevee,Normal,65,75,70,75,250,Cascoon,Bug,50,35,55,15,80,1
Vaporeon,Water,130,65,60,65,290,Caterpie,Bug,45,30,35,45,90,1
Jolteon,Electric,65,65,60,130,238,Charjabug,Bug,57,82,95,36,237.5,1
Flareon,Fire,65,130,60,65,305,Combee,Bug,30,30,42,70,-88,1
Porygon,Normal,65,60,70,40,130,Crustle,Bug,70,105,125,45,315,2
Omanyte,Rock,35,40,100,35,165,Cutiefly,Bug,40,45,40,84,129,1
Omastar,Rock,70,60,125,55,275,Dottler,Bug,50,35,80,30,75,1
Kabuto,Rock,30,80,90,55,146,Durant,Bug,58,109,112,109,308,2
Kabutops,Rock,60,115,105,80,310,Dustox,Bug,60,50,70,65,15,1
Aerodactyl,Rock,80,105,65,130,347.5,Dwebble,Bug,50,65,85,55,45,1
Mega Aerodactyl,Rock,80,135,85,150,382.5,Escavalier,Bug,70,135,105,20,195,1
Snorlax,Normal,160,110,65,30,275,Forretress,Bug,75,90,140,40,290,2
Articuno,Ice,90,85,100,85,321.5,Galvantula,Bug,70,77,60,108,230,1
Zapdos,Electric,90,90,85,100,305,Genesect,Bug,71,120,95,99,295,1
Moltres,Fire,90,100,90,90,338.75,Golisopod,Bug,75,125,140,40,280,1
Dratini,Dragon,41,64,45,50,138,Grubbin,Bug,47,62,45,46,136,1
Dragonair,Dragon,61,84,65,70,155,Heracross,Bug,80,125,75,85,281,2
Dragonite,Dragon,91,134,95,80,376.5,Illumise,Bug,65,47,75,85,138,1
Mewtwo,Psychic,106,110,90,130,342,Joltik,Bug,50,47,50,65,102,1
Mega Mewtwo X,Psychic,106,190,100,130,501,Kakuna,Bug,45,25,50,35,-225,1
Mega Mewtwo Y,Psychic,106,150,70,140,316,Karrablast,Bug,50,75,45,60,80,1
Mew,Psychic,100,100,100,100,350,Kricketot,Bug,37,25,41,25,28,1
Chikorita,Grass,45,49,65,45,34,Kricketune,Bug,77,85,51,65,253.5,2
Bayleef,Grass,60,62,80,60,92,Larvesta,Bug,55,85,55,60,239.5,2
Meganium,Grass,80,82,100,80,136,Leavanny,Bug,75,103,80,92,329.5,2
Cyndaquil,Fire,39,52,43,65,181.5,Ledian,Bug,55,35,50,85,121,1
Quilava,Fire,58,64,58,80,250,Ledyba,Bug,40,20,30,55,17,1
Typhlosion,Fire,78,84,78,100,310,Masquerain,Bug,70,60,62,80,104,1
Totodile,Water,50,65,64,43,72,Mega Beedrill,Bug,65,150,40,145,335,2
Croconaw,Water,65,80,80,58,98,Mega Heracross,Bug,80,185,115,75,375,2
Feraligatr,Water,85,105,100,78,213,Mega Pinsir,Bug,65,155,120,105,340,2
Sentret,Normal,35,46,34,20,-15,Mega Scizor,Bug,70,150,140,75,412,2
Furret,Normal,85,76,64,90,295,Metapod,Bug,50,20,55,30,79,1
Hoothoot,Normal,60,30,30,50,123,Mothim,Bug,70,94,50,66,250,2
Noctowl,Normal,100,50,50,70,247.5,Nincada,Bug,31,45,90,40,156,1
Ledyba,Bug,40,20,30,55,100,Ninjask,Bug,61,90,45,160,346,2
Ledian,Bug,55,35,50,85,202.5,Orbeetle,Bug,60,45,110,90,235,2
Spinarak,Bug,40,60,40,30,135,Paras,Bug,35,70,55,25,65,1
Ariados,Bug,70,90,70,40,222.5,Parasect,Bug,60,95,80,30,85,1
Crobat,Poison,85,90,80,130,350.75,Pheromosa,Bug,71,137,37,151,306,1
Chinchou,Water,75,38,38,67,153,Pineco,Bug,50,65,90,15,182,2
Lanturn,Water,125,58,58,67,183,Pinsir,Bug,65,125,100,85,317,2
Pichu,Electric,20,40,15,60,80,Ribombee,Bug,60,55,60,124,259,2
Cleffa,Fairy,50,25,28,15,100.5,Scatterbug,Bug,38,35,40,35,123,2
Igglybuff,Normal,90,30,15,15,85,Scizor,Bug,70,130,100,65,350,2
Togepi,Fairy,35,20,65,20,90,Scolipede,Bug,60,100,89,112,351,2
Togetic,Fairy,55,40,85,40,192.5,Scyther,Bug,70,110,80,105,325,2
Natu,Psychic,40,50,45,70,152,Sewaddle,Bug,45,53,70,42,160,2
Xatu,Psychic,65,75,70,95,215,Shedinja,Bug,1,90,45,40,176,1
Mareep,Electric,55,40,40,35,130,Shelmet,Bug,50,40,85,25,160,2
Flaaffy,Electric,70,55,55,45,215,Shuckle,Bug,20,10,230,5,210,1
Ampharos,Electric,90,75,85,55,270,Silcoon,Bug,50,35,55,15,80,1
Mega Ampharos,Electric,90,95,105,45,313,Spewpa,Bug,45,22,60,29,61,1
Bellossom,Grass,75,80,95,50,180,Spinarak,Bug,40,60,40,30,150,1
Marill,Water,70,20,50,40,165,Surskit,Bug,40,30,32,65,157,1
Azumarill,Water,100,50,80,50,248.5,Swadloon,Bug,55,63,90,42,225,1
Sudowoodo,Rock,70,100,115,30,270,Venipede,Bug,30,45,59,57,-9,1
Politoed,Water,90,75,75,70,245,Venomoth,Bug,70,65,60,90,210,1
Hoppip,Grass,35,35,40,50,105,Venonat,Bug,60,55,50,45,201.25,2
Skiploom,Grass,55,45,50,80,150,Vespiquen,Bug,70,80,102,40,280.75,2
Jumpluff,Grass,75,55,70,110,240,Vikavolt,Bug,77,70,90,43,252.5,2
Aipom,Normal,55,70,55,85,213,Vivillon,Bug,80,52,50,89,201,1
Sunkern,Grass,30,30,30,30,-26,Volbeat,Bug,65,73,75,85,283,2
Sunflora,Grass,75,75,55,30,115,Volcarona,Bug,85,60,65,100,291.25,2
Yanma,Bug,65,65,45,95,252.5,Weedle,Bug,40,35,30,50,122.5,1
Wooper,Water,55,45,45,15,105,Whirlipede,Bug,40,55,99,47,196,2
Quagsire,Water,95,85,85,35,265,Wimpod,Bug,25,35,40,80,137.5,1
Espeon,Psychic,65,65,60,110,182,Wormadam Plant Cloak,Bug,60,59,85,36,175,1
Umbreon,Dark,95,65,110,65,177,Wormadam Sandy Cloak,Bug,60,79,105,36,215,2
Murkrow,Dark,60,85,42,91,209,Wormadam Trash Cloak,Bug,60,69,95,36,175,1
Slowking,Water,95,75,80,30,190,Wurmple,Bug,45,45,35,20,70,1
Misdreavus,Ghost,60,60,60,85,232.5,Yanma,Bug,65,65,45,95,210,1
Unown,Psychic,48,72,48,48,64,Yanmega,Bug,86,76,86,95,271,2
Wobbuffet,Psychic,190,33,58,33,174,Accelgor,Bug,80,70,40,145,302,2
Girafarig,Normal,70,80,65,85,120,Ariados,Bug,70,90,70,40,190,2
Pineco,Bug,50,65,90,15,150,Beautifly,Bug,60,70,50,65,212.5,2
Forretress,Bug,75,90,140,40,300,Beedrill,Bug,65,90,40,75,225,1
Dunsparce,Normal,100,70,70,45,265,Blipbug,Bug,25,20,20,45,40,1
Gligar,Ground,65,75,105,85,315.5,Burmy,Bug,40,29,45,36,112.5,1
Steelix,Steel,75,85,200,30,367.5,Butterfree,Bug,60,45,50,70,140,1
Mega Steelix,Steel,75,125,230,30,390.5,Buzzwole,Bug,107,139,139,79,339,1
Snubbull,Fairy,60,80,50,30,202.5,Cascoon,Bug,50,35,55,15,75,1
Granbull,Fairy,90,120,75,45,315,Caterpie,Bug,45,30,35,45,35,1
Qwilfish,Water,65,95,85,85,289,Charjabug,Bug,57,82,95,36,175,1
Scizor,Bug,70,130,100,65,350,Combee,Bug,30,30,42,70,107,1
Mega Scizor,Bug,70,150,140,75,382.5,Crustle,Bug,70,105,125,45,195,1
Shuckle,Bug,20,10,230,5,220,Cutiefly,Bug,40,45,40,84,204,1
Heracross,Bug,80,125,75,85,347.5,Dottler,Bug,50,35,80,30,-55,1
Mega Heracross,Bug,80,185,115,75,400.5,Durant,Bug,58,109,112,109,295.5,1
Sneasel,Dark,55,95,55,115,220,Dustox,Bug,60,50,70,65,150,1
Teddiursa,Normal,60,80,50,40,165,Dwebble,Bug,50,65,85,55,215,2
Ursaring,Normal,90,130,75,55,215,Escavalier,Bug,70,135,105,20,265,2
Slugma,Fire,40,40,40,20,95,Forretress,Bug,75,90,140,40,185,2
Magcargo,Fire,60,50,120,30,221.5,Galvantula,Bug,70,77,60,108,215,1
Swinub,Ice,50,50,40,50,70,Genesect,Bug,71,120,95,99,360,2
Piloswine,Ice,100,100,80,50,205,Golisopod,Bug,75,125,140,40,330,2
Corsola,Water,65,55,95,35,188,Grubbin,Bug,47,62,45,46,145,1
Galarian Corsola,Ghost,60,55,100,30,182.5,Heracross,Bug,80,125,75,85,310,2
Remoraid,Water,35,65,35,65,153,Illumise,Bug,65,47,75,85,207,2
Octillery,Water,75,105,75,45,253,Joltik,Bug,50,47,50,65,107,1
Delibird,Ice,45,55,45,75,207.5,Kakuna,Bug,45,25,50,35,100,1
Mantine,Water,85,40,70,70,227.5,Karrablast,Bug,50,75,45,60,190,1
Skarmory,Steel,65,80,140,70,348.75,Kricketot,Bug,37,25,41,25,48,1
Houndour,Dark,45,60,30,65,115,Kricketune,Bug,77,85,51,65,218,2
Houndoom,Dark,75,90,50,95,225,Larvesta,Bug,55,85,55,60,165,1
Mega Houndoom,Dark,75,90,90,115,267,Leavanny,Bug,75,103,80,92,260,1
Kingdra,Water,75,95,95,85,315,Ledian,Bug,55,35,50,85,130,1
Phanpy,Ground,90,60,60,40,230,Ledyba,Bug,40,20,30,55,145,1
Donphan,Ground,90,120,120,50,320,Masquerain,Bug,70,60,62,80,272,1
Porygon2,Normal,85,80,90,60,165,Mega Beedrill,Bug,65,150,40,145,320,2
Stantler,Normal,73,95,62,85,130,Mega Heracross,Bug,80,185,115,75,360,2
Smeargle,Normal,55,20,35,75,30,Mega Pinsir,Bug,65,155,120,105,425,2
Tyrogue,Fighting,35,35,35,35,65,Mega Scizor,Bug,70,150,140,75,417.5,2
Hitmontop,Fighting,50,95,95,70,300,Metapod,Bug,50,20,55,30,60,1
Smoochum,Ice,45,30,15,65,-33,Mothim,Bug,70,94,50,66,220,2
Elekid,Electric,45,63,37,95,195,Nincada,Bug,31,45,90,40,206,2
Magby,Fire,45,75,37,83,195,Ninjask,Bug,61,90,45,160,206,2
Miltank,Normal,95,80,105,100,335,Orbeetle,Bug,60,45,110,90,225,1
Blissey,Normal,255,10,10,55,260,Paras,Bug,35,70,55,25,175,1
Raikou,Electric,90,85,75,115,270,Parasect,Bug,60,95,80,30,222.5,1
Entei,Fire,115,115,85,100,346.5,Pheromosa,Bug,71,137,37,151,166,1
Suicune,Water,100,75,115,85,310,Pineco,Bug,50,65,90,15,145,1
Larvitar,Rock,50,64,50,41,80,Pinsir,Bug,65,125,100,85,247,2
Pupitar,Rock,70,84,70,51,220,Ribombee,Bug,60,55,60,124,131,1
Tyranitar,Rock,100,134,110,61,335,Scatterbug,Bug,38,35,40,35,-120,1
Mega Tyranitar,Rock,100,164,150,71,225,Scizor,Bug,70,130,100,65,201,1
Lugia,Psychic,106,90,130,110,336,Scolipede,Bug,60,100,89,112,181,1
Ho-oh,Fire,106,130,90,90,388.5,Scyther,Bug,70,110,80,105,105,1
Celebi,Psychic,100,100,100,100,188,Sewaddle,Bug,45,53,70,42,110,1
Treecko,Grass,40,45,35,70,10,Shedinja,Bug,1,90,45,40,176,2
Grovyle,Grass,50,65,45,95,175,Shelmet,Bug,50,40,85,25,167.5,1
Sceptile,Grass,70,85,65,120,320,Shuckle,Bug,20,10,230,5,180,1
Mega Sceptile,Grass,70,110,75,145,330,Silcoon,Bug,50,35,55,15,100,1
Torchic,Fire,45,60,40,45,179,Spewpa,Bug,45,22,60,29,36,1
Combusken,Fire,60,85,60,55,245,Spinarak,Bug,40,60,40,30,0,1
Blaziken,Fire,80,120,70,80,342.5,Surskit,Bug,40,30,32,65,47,1
Mega Blaziken,Fire,80,160,80,100,404.25,Swadloon,Bug,55,63,90,42,-390,1
Mudkip,Water,50,70,50,40,165,Venipede,Bug,30,45,59,57,121,1
Marshtomp,Water,70,85,70,50,210,Venomoth,Bug,70,65,60,90,200,1
Swampert,Water,100,110,90,60,305,Venonat,Bug,60,55,50,45,100,1
Mega Swampert,Water,100,150,110,70,350,Vespiquen,Bug,70,80,102,40,142,1
Poochyena,Dark,35,55,35,35,20,Vikavolt,Bug,77,70,90,43,225,2
Mightyena,Dark,70,90,70,70,196,Vivillon,Bug,80,52,50,89,181,1
Zigzagoon,Normal,38,30,41,60,96,Volbeat,Bug,65,73,75,85,268,2
Galarian Zigzagoon,Dark,38,30,41,60,49,Volcarona,Bug,85,60,65,100,280,2
Linoone,Normal,78,70,61,100,274,Weedle,Bug,40,35,30,50,85,1
Galarian Linoone,Dark,78,70,61,100,199,Whirlipede,Bug,40,55,99,47,171,1
Wurmple,Bug,45,45,35,20,110,Wimpod,Bug,25,35,40,80,135,2
Silcoon,Bug,50,35,55,15,96,Wormadam Plant Cloak,Bug,60,59,85,36,170,2
